run_id,instance,scenario,model,ativar_bem_estar,zip_file,timestamp,TOL_COMPOSICAO,TOL_TREINO,TOL_PESSOAS_ALOCADAS,status_solver,custo_total_folha,funcionarios_alocados,total_funcionarios,perc_funcionarios_alocados,total_alocacoes,projetos_ativos,total_projetos,upgrades,perc_upgrades,media_pessoas_projeto,viol_distancia,viol_autoexclusao,viol_descompressao,viol_treino,fitness_final,tempo_execucao_s,gap_otimalidade,geracoes_ga,ga_seed,ga_geracoes_max,ga_ilhas,ga_pop_ilha,PESO_DIST,PESO_AUTO,PESO_DESC,PESO_TREINO,PESO_HARD,PESO_DESVIO_COMP,PESO_SDEM
S123_01,I1_SMALL,A_GA_noBE,GA,False,SMALL_V15.zip,2026-03-05T10:21:56.826297,0.01,0.02,0.05,Optimal,26475363.09,209,220,95.0,538,60,60,0,0.0,8.97,299,0,0,26,2201475363.03,17.29,,186,123,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S123_02,I1_SMALL,B_GA_BE,GA,True,SMALL_V15.zip,2026-03-05T10:22:37.792182,0.01,0.02,0.05,Optimal,27869541.85,211,220,95.91,559,60,60,0,0.0,9.32,307,0,0,20,2566921923.57,21.02,,166,123,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S456_03,I1_SMALL,A_GA_noBE,GA,False,SMALL_V15.zip,2026-03-05T10:23:12.701914,0.01,0.02,0.05,Optimal,26414706.82,208,220,94.55,539,60,60,0,0.0,8.98,304,0,0,26,2582414706.84,16.19,,191,456,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S456_04,I1_SMALL,B_GA_BE,GA,True,SMALL_V15.zip,2026-03-05T10:23:49.000362,0.01,0.02,0.05,Optimal,25342202.76,216,220,98.18,526,60,60,0,0.0,8.77,289,0,0,26,3335456760.82,17.04,,213,456,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S789_05,I1_SMALL,A_GA_noBE,GA,False,SMALL_V15.zip,2026-03-05T10:24:29.811709,0.01,0.02,0.05,Optimal,27347309.95,212,220,96.36,544,60,60,0,0.0,9.07,319,0,0,27,1881347309.98,21.44,,289,789,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S789_06,I1_SMALL,B_GA_BE,GA,True,SMALL_V15.zip,2026-03-05T10:25:06.678999,0.01,0.02,0.05,Optimal,26968288.55,209,220,95.0,546,60,60,0,0.0,9.1,314,1,0,25,2118968288.53,18.35,,240,789,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S2026_07,I1_SMALL,A_GA_noBE,GA,False,SMALL_V15.zip,2026-03-05T10:25:49.215955,0.01,0.02,0.05,Optimal,26185388.76,211,220,95.91,536,60,60,0,0.0,8.93,300,0,0,28,2344257718.58,19.93,,306,2026,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S2026_08,I1_SMALL,B_GA_BE,GA,True,SMALL_V15.zip,2026-03-05T10:26:27.386139,0.01,0.02,0.05,Optimal,26724456.2,211,220,95.91,543,60,60,0,0.0,9.05,289,0,0,23,2428770991.93,19.25,,279,2026,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S123_01,I2_LARGE_05X,A_GA_noBE,GA,False,LARGE_05X_V01.zip,2026-03-05T10:31:16.088774,0.01,0.02,0.05,Optimal,198980408.96,580,600,96.67,1065,160,160,60,10.0,6.66,0,0,0,271,8319980408.89,124.78,,221,123,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S123_02,I2_LARGE_05X,B_GA_BE,GA,True,LARGE_05X_V01.zip,2026-03-05T10:40:42.226263,0.01,0.02,0.05,Optimal,203373671.14,561,600,93.5,1075,160,160,58,9.67,6.72,0,0,3,264,7958373671.2,476.13,,287,123,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S456_03,I2_LARGE_05X,A_GA_noBE,GA,False,LARGE_05X_V01.zip,2026-03-05T10:46:24.191023,0.01,0.02,0.05,Optimal,181100614.95,571,600,95.17,995,160,160,57,9.5,6.22,0,0,0,244,8731100615.0,233.35,,193,456,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S123_02,I2_LARGE_05X,B_GA_BE,GA,True,LARGE_05X_V01.zip,2026-03-05T10:49:37.408881,0.01,0.02,0.05,Optimal,203373671.14,561,600,93.5,1075,160,160,58,9.67,6.72,0,0,3,264,7958373671.2,700.47,,287,123,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S456_04,I2_LARGE_05X,B_GA_BE,GA,True,LARGE_05X_V01.zip,2026-03-05T10:51:52.341456,0.01,0.02,0.05,Optimal,197173106.56,568,600,94.67,1060,160,160,58,9.67,6.62,0,1,1,278,8153173107.0,223.35,,207,456,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S123_02,I2_LARGE_05X,B_GA_BE,GA,True,LARGE_05X_V01.zip,2026-03-05T10:52:10.282273,0.01,0.02,0.05,Optimal,203373671.14,561,600,93.5,1075,160,160,58,9.67,6.72,0,0,3,264,7958373671.2,721.8,,287,123,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S123_02,I2_LARGE_05X,B_GA_BE,GA,True,LARGE_05X_V01.zip,2026-03-05T10:53:10.430250,0.01,0.02,0.05,Optimal,203373671.14,561,600,93.5,1075,160,160,58,9.67,6.72,0,0,3,264,7958373671.2,727.49,,287,123,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
S456_04,I2_LARGE_05X,B_GA_BE,GA,True,LARGE_05X_V01.zip,2026-03-05T10:55:08.919801,0.01,0.02,0.05,Optimal,197173106.56,568,600,94.67,1060,160,160,58,9.67,6.62,0,1,1,278,8153173107.0,225.34,,207,456,400,4,40,10000000.0,10000000.0,10000000.0,1000000.0,100000000.0,50000000.0,10000000.0
